20,59,32
21,44,27
26,52,34
26,56,35
20,59,32
22,53,29
22,62,37
14,32,19
20,59,32
27,50,33
20,61,33
20,53,28
20,55,32
21,59,35
21,59,35
22,57,34
22,62,37
22,60,36
20,38,23
17,31,17
27,47,31
21,51,30
30,48,31
25,51,35
23,46,27
31,58,35
20,60,35
22,63,35
22,37,25
21,62,34
18,57,30
10,33,16
19,60,32
17,31,17
23,54,30
18,57,30
18,44,24
19,49,28
13,31,16
23,41,26
14,37,18
14,34,20
18,44,24
20,58,34
20,59,32
28,48,32
16,36,20
23,46,29
14,32,17
22,58,32
15,33,16
23,61,37
27,47,31
24,38,26
22,58,32
26,59,34
21,61,36
21,48,28
22,57,34
20,53,28
28,58,37
16,39,22
20,43,24
10,33,16
19,62,34
21,60,33
17,43,25
20,59,32
20,60,35
20,61,33
19,54,31
18,56,32
22,58,32
28,48,32
18,53,30
20,53,28
30,53,36
20,59,32
20,58,34
19,51,29
27,45,30
22,62,37
20,59,32
13,36,19
14,32,17
21,61,36
17,35,22
17,40,23
19,60,32
27,54,34
23,58,35
21,51,30
14,40,22
23,38,24
24,60,34
19,42,23
20,61,33
21,53,31
22,61,32
25,51,31
